LCURRENT,LSTART,SEX,JOBCAT,RACE,EDUC,SENIOR,AGE,EXPER,CURRENT,START
9.21,8.56,1,2,1,13,80,39.57,10.16,10252,5320
9.34,8.34,1,2,0,12,92,25.5,0.5,11384,4188
9.2,8.38,1,2,0,12,79,24.67,0.42,9897,4359
9.47,8.59,1,2,0,15,90,28.75,1.83,12965,5378
9.92,8.88,1,1,0,16,93,32.5,1.83,20333,7187
9.11,8.41,1,2,0,12,68,23.42,0.17,9045,4492
9.64,8.79,1,2,0,16,90,30.42,0,15367,6568
9.16,8.53,1,2,0,12,69,24.42,1.67,9509,5064
9.02,8.47,1,1,0,12,87,53.92,13.58,8267,4770
8.89,8.38,1,2,0,12,80,25,0,7259,4359
8.79,8.31,1,1,0,12,84,62.42,24,6568,4064
9.4,8.79,1,2,0,16,98,43.92,11.92,12088,6568
9.51,8.47,1,1,0,12,82,28.17,0.92,13494,4770
9.23,8.64,1,1,0,15,82,30.17,4.25,10199,5653
9.32,8.59,1,2,0,12,73,27.33,2.67,11159,5378
9.18,8.38,1,1,0,12,93,25.25,0.42,9701,4359
9.35,8.62,1,2,0,12,72,27.33,1.5,11499,5541
9.25,8.38,1,2,0,12,89,25.83,0,10405,4359
9.11,8.41,1,1,0,12,69,23.67,0,9045,4492
8.8,8.26,1,1,0,8,88,62.5,34.33,6634,3866
9.02,8.41,1,2,0,12,69,23.67,0.17,8267,4492
9.21,8.62,1,2,0,15,64,29.08,4.75,9997,5541
9.04,8.47,1,2,0,8,73,60.5,13.25,8434,4770
8.83,8.31,1,1,0,12,82,53.92,29.83,6836,4064
9.13,8.41,1,2,0,12,81,24.08,1.08,9228,4492
9.27,8.59,0,1,1,12,88,29.92,3.17,10615,5378
9.36,8.59,0,1,1,12,96,39.5,9.42,11614,5378
9.49,8.85,0,1,1,16,67,41.67,10,13227,6974
8.96,8.53,0,1,1,12,84,44.58,15,7785,5064
9.25,8.76,0,1,1,8,67,51.42,8.08,10405,6374
9.32,8.79,0,1,1,15,66,30.75,7,11159,6568
9.07,8.53,0,1,1,12,97,53.08,26.25,8691,5064
9.1,8.69,0,1,1,15,82,59.75,30.92,8955,5943
9.28,8.88,0,1,1,17,70,47.33,16,10721,7187
9.27,8.69,0,2,1,16,78,33.83,8.75,10615,5943
9.3,8.69,0,2,1,12,90,37.5,14.42,10938,5943
9.09,8.69,0,1,1,12,80,57.17,22.67,8866,5943
9.45,8.74,0,2,1,15,67,29.33,4.83,12708,6248
9.27,8.74,0,2,1,12,76,28.33,1.5,10615,6248
9.43,8.69,0,2,1,15,96,31.92,4.08,12457,5943
9.41,8.69,0,3,1,12,91,45.5,20,12210,5943
9.55,8.74,0,3,1,12,78,55.33,23.42,14045,6248
9.31,8.64,0,2,1,15,98,33.67,2.83,11048,5653
9.41,8.69,0,3,1,12,90,43.67,17.42,12210,5943
8.84,8.31,1,1,1,12,72,46.5,9.67,6905,4064
9.29,8.74,1,1,1,15,84,55.17,19.25,10829,6248
8.78,8.31,1,1,1,12,66,60.5,13.58,6503,4064
8.82,8.31,1,1,1,12,72,51.5,22.58,6768,4064
9.25,8.59,1,1,1,12,72,50.33,14.08,10405,5378
8.96,8.62,1,1,1,12,69,50,11.08,7785,5541
8.9,8.31,1,1,1,12,85,51,19,7332,4064
9.34,8.34,1,2,0,12,92,25.5,0.5,11384,4188
9.2,8.38,1,2,0,12,79,24.67,0.42,9897,4359
9.47,8.59,1,2,0,15,90,28.75,1.83,12965,5378
9.92,8.88,1,1,0,16,93,32.5,1.83,20333,7187
9.11,8.41,1,2,0,12,68,23.42,0.17,9045,4492
9.64,8.79,1,2,0,16,90,30.42,0,15367,6568
9.16,8.53,1,2,0,12,69,24.42,1.67,9509,5064
9.02,8.47,1,1,0,12,87,53.92,13.58,8267,4770
8.89,8.38,1,2,0,12,80,25,0,7259,4359
8.79,8.31,1,1,0,12,84,62.42,24,6568,4064
9.4,8.79,1,2,0,16,98,43.92,11.92,12088,6568
9.51,8.47,1,1,0,12,82,28.17,0.92,13494,4770
9.23,8.64,1,1,0,15,82,30.17,4.25,10199,5653
9.32,8.59,1,2,0,12,73,27.33,2.67,11159,5378
9.18,8.38,1,1,0,12,93,25.25,0.42,9701,4359
9.35,8.62,1,2,0,12,72,27.33,1.5,11499,5541
9.25,8.38,1,2,0,12,89,25.83,0,10405,4359
9.11,8.41,1,1,0,12,69,23.67,0,9045,4492
8.8,8.26,1,1,0,8,88,62.5,34.33,6634,3866
9.02,8.41,1,2,0,12,69,23.67,0.17,8267,4492
9.21,8.62,1,2,0,15,64,29.08,4.75,9997,5541
9.04,8.47,1,2,0,8,73,60.5,13.25,8434,4770
8.83,8.31,1,1,0,12,82,53.92,29.83,6836,4064
9.13,8.41,1,2,0,12,81,24.08,1.08,9228,4492
9.27,8.59,0,1,1,12,88,29.92,3.17,10615,5378
9.36,8.59,0,1,1,12,96,39.5,9.42,11614,5378
9.49,8.85,0,1,1,16,67,41.67,10,13227,6974
8.96,8.53,0,1,1,12,84,44.58,15,7785,5064
9.25,8.76,0,1,1,8,67,51.42,8.08,10405,6374
9.32,8.79,0,1,1,15,66,30.75,7,11159,6568
9.07,8.53,0,1,1,12,97,53.08,26.25,8691,5064
9.1,8.69,0,1,1,15,82,59.75,30.92,8955,5943
9.28,8.88,0,1,1,17,70,47.33,16,10721,7187
9.27,8.69,0,2,1,16,78,33.83,8.75,10615,5943
9.3,8.69,0,2,1,12,90,37.5,14.42,10938,5943
9.09,8.69,0,1,1,12,80,57.17,22.67,8866,5943
9.45,8.74,0,2,1,15,67,29.33,4.83,12708,6248
9.27,8.74,0,2,1,12,76,28.33,1.5,10615,6248
9.43,8.69,0,2,1,15,96,31.92,4.08,12457,5943
9.41,8.69,0,3,1,12,91,45.5,20,12210,5943
9.55,8.74,0,3,1,12,78,55.33,23.42,14045,6248
9.41,8.69,0,3,1,12,90,43.67,17.42,12210,5943
8.84,8.31,1,1,1,12,72,46.5,9.67,6905,4064
9.29,8.74,1,1,1,15,84,55.17,19.25,10829,6248
8.78,8.31,1,1,1,12,66,60.5,13.58,6503,4064
8.82,8.31,1,1,1,12,72,51.5,22.58,6768,4064
9.25,8.59,1,1,1,12,72,50.33,14.08,10405,5378
8.96,8.62,1,1,1,12,69,50,11.08,7785,5541
8.9,8.31,1,1,1,12,85,51,19,7332,4064
