Date, Total Daily Amount 
07/01/2021," 214,160 "
08/01/2021," 37,710 "
09/01/2021," 104,650 "
10/01/2021," 139,630 "
11/01/2021," 237,840 "
12/01/2021," 151,820 "
07/02/2021," 133,880 "
08/02/2021," 192,760 "
09/02/2021," 206,110 "
10/02/2021," 74,990 "
11/02/2021," 150,970 "
12/02/2021," 270,490 "
07/03/2021," 62,460 "
08/03/2021," 128,590 "
09/03/2021," 125,120 "
10/03/2021," 30,230 "
11/03/2021," 130,660 "
12/03/2021," 135,630 "
07/04/2021," 33,980 "
08/04/2021," 110,520 "
09/04/2021," 57,180 "
10/04/2021," 223,640 "
11/04/2021," 241,710 "
12/04/2021," 73,260 "
07/05/2021," 212,740 "
08/05/2021," 212,580 "
09/05/2021," 31,840 "
10/05/2021," 132,910 "
11/05/2021," 184,260 "
12/05/2021," 50,070 "
13/05/2021," 22,000 "
07/06/2021," 131,660 "
08/06/2021," 128,490 "
09/06/2021," 213,590 "
10/06/2021," 136,280 "
11/06/2021," 101,850 "
12/06/2021," 261,070 "
07/07/2021," 109,570 "
08/07/2021," 59,200 "
09/07/2021," 113,940 "
10/07/2021," 241,712 "
11/07/2021," 59,940 "
12/07/2021," 160,160 "
13/07/2021," 126,520 "
14/07/2021," 126,300 "
15/07/2021," 221,650 "
16/07/2021," 130,740 "
17/07/2021," 60,990 "
18/07/2021," 42,120 "
19/07/2021," 209,660 "
20/07/2021," 98,130 "
21/07/2021," 117,010 "
22/07/2021," 212,930 "
23/07/2021," 134,850 "
24/07/2021," 62,450 "
25/07/2021," 44,190 "
26/07/2021," 209,120 "
27/07/2021," 134,000 "
28/07/2021," 118,570 "
29/07/2021," 203,270 "
30/07/2021," 115,780 "
31/07/2021," 62,870 "
07/08/2021," 201,980 "
08/08/2021," 33,260 "
09/08/2021," 111,260 "
10/08/2021," 144,780 "
11/08/2021," 304,030 "
12/08/2021," 143,030 "
13/08/2021," 125,090 "
14/08/2021," 54,850 "
15/08/2021," 36,690 "
16/08/2021," 203,970 "
17/08/2021," 126,710 "
18/08/2021," 100,820 "
19/08/2021," 203,440 "
20/08/2021," 118,300 "
21/08/2021," 53,460 "
22/08/2021," 34,600 "
23/08/2021," 194,260 "
24/08/2021," 122,260 "
25/08/2021," 105,630 "
26/08/2021," 220,590 "
27/08/2021," 112,470 "
28/08/2021," 50,010 "
29/08/2021," 31,430 "
30/08/2021," 194,440 "
31/08/2021," 128,580 "
07/09/2021," 126,430 "
08/09/2021," 199,350 "
09/09/2021," 202,540 "
10/09/2021," 70,870 "
12/09/2021," 285,350 "
13/09/2021," 197,370 "
14/09/2021," 121,960 "
15/09/2021," 101,110 "
16/09/2021," 214,420 "
17/09/2021," 128,230 "
18/09/2021," 57,310 "
19/09/2021," 32,820 "
20/09/2021," 199,990 "
21/09/2021," 133,770 "
22/09/2021," 117,952 "
23/09/2021," 222,930 "
24/09/2021," 130,240 "
25/09/2021," 42,420 "
26/09/2021," 32,030 "
27/09/2021," 210,360 "
28/09/2021," 126,700 "
29/09/2021," 119,210 "
30/09/2021," 234,640 "
07/10/2021," 60,260 "
08/10/2021," 126,300 "
09/10/2021," 116,940 "
10/10/2021," 31,970 "
11/10/2021," 143,440 "
12/10/2021," 169,680 "
13/10/2021," 122,670 "
14/10/2021," 237,120 "
15/10/2021," 137,150 "
16/10/2021," 67,080 "
17/10/2021," 28,780 "
18/10/2021," 233,760 "
19/10/2021," 125,510 "
20/10/2021," 44,760 "
21/10/2021," 226,700 "
22/10/2021," 142,180 "
23/10/2021," 62,780 "
24/10/2021," 31,590 "
25/10/2021," 231,560 "
26/10/2021," 125,820 "
27/10/2021," 120,550 "
28/10/2021," 245,500 "
29/10/2021," 135,270 "
30/10/2021," 66,820 "
31/10/2021," 34,500 "
07/11/2021," 41,120 "
08/11/2021," 103,830 "
09/11/2021," 54,020 "
10/11/2021," 215,260 "
11/11/2021," 299,540 "
12/11/2021," 102,662 "
13/11/2021," 91,660 "
14/11/2021," 50,070 "
15/11/2021," 282,100 "
16/11/2021," 162,560 "
17/11/2021," 171,810 "
18/11/2021," 292,060 "
19/11/2021," 171,010 "
20/11/2021," 99,930 "
22/11/2021," 284,030 "
23/11/2021," 176,940 "
24/11/2021," 163,850 "
25/11/2021," 279,240 "
26/11/2021," 186,030 "
27/11/2021," 83,210 "
28/11/2021," 37,870 "
30/11/2021," 150,990 "
07/12/2021," 220,830 "
08/12/2021," 193,150 "
09/12/2021," 39,640 "
10/12/2021," 142,040 "
11/12/2021," 188,500 "
12/12/2021," 26,320 "
13/12/2021," 192,060 "
14/12/2021," 150,672 "
15/12/2021," 118,360 "
16/12/2021," 263,320 "
17/12/2021," 177,910 "
18/12/2021," 83,280 "
19/12/2021," 40,780 "
21/12/2021," 149,840 "
22/12/2021," 154,750 "
23/12/2021," 241,780 "
24/12/2021," 175,090 "
25/12/2021," 23,060 "
26/12/2021," 13,680 "
27/12/2021," 30,430 "
28/12/2021," 133,020 "
29/12/2021," 137,930 "
30/12/2021," 215,970 "
31/12/2021," 156,940 "
01/01/2022," 19,950 "
02/01/2022," 159,810 "
05/01/2022," 28,100 "
06/01/2022," 91,660 "
07/01/2022," 394,433 "
08/01/2022," 382,004 "
09/01/2022," 232,155 "
10/01/2022," 61,580 "
13/01/2022," 239,910 "
14/01/2022," 162,962 "
15/01/2022," 83,262 "
16/01/2022," 36,420 "
17/01/2022," 246,680 "
18/01/2022," 153,420 "
19/01/2022," 134,380 "
20/01/2022," 236,950 "
21/01/2022," 154,130 "
22/01/2022," 95,470 "
23/01/2022," 47,390 "
24/01/2022," 239,410 "
25/01/2022," 153,530 "
26/01/2022," 138,150 "
27/01/2022," 258,080 "
28/01/2022," 150,490 "
29/01/2022," 75,030 "
30/01/2022," 40,080 "
31/01/2022," 226,040 "
01/02/2022," 29,730 "
02/02/2022," 140,920 "
03/02/2022," 145,370 "
04/02/2022," 79,120 "
05/02/2022," 181,390 "
06/02/2022," 482,472 "
07/02/2022," 65,790 "
08/02/2022," 484,823 "
09/02/2022," 195,894 "
10/02/2022," 29,850 "
13/02/2022," 40,650 "
14/02/2022," 235,650 "
15/02/2022," 160,610 "
16/02/2022," 139,810 "
17/02/2022," 234,520 "
18/02/2022," 166,200 "
19/02/2022," 69,100 "
20/02/2022," 37,220 "
21/02/2022," 239,010 "
22/02/2022," 155,580 "
23/02/2022," 142,710 "
24/02/2022," 243,160 "
25/02/2022," 155,920 "
26/02/2022," 76,230 "
27/02/2022," 39,760 "
28/02/2022," 240,400 "
01/03/2022," 232,110 "
02/03/2022," 251,340 "
03/03/2022," 244,650 "
04/03/2022," 40,970 "
05/03/2022," 103,690 "
06/03/2022," 454,965 "
07/03/2022," 41,710 "
08/03/2022," 301,205 "
09/03/2022," 86,990 "
10/03/2022," 505,571 "
13/03/2022," 40,450 "
14/03/2022," 273,480 "
15/03/2022," 175,080 "
16/03/2022," 156,770 "
17/03/2022," 267,520 "
18/03/2022," 172,830 "
19/03/2022," 81,800 "
20/03/2022," 45,090 "
21/03/2022," 273,630 "
22/03/2022," 269,140 "
23/03/2022," 408,430 "
26/03/2022," 82,740 "
27/03/2022," 44,330 "
01/04/2022," 170,010 "
02/04/2022," 167,470 "
03/04/2022," 177,560 "
04/04/2022," 850,620 "
05/04/2022," 380,350 "
06/04/2022," 73,430 "
07/04/2022," 383,541 "
08/04/2022," 301,493 "
09/04/2022," 36,530 "
10/04/2022," 390,028 "
13/04/2022," 413,910 "
14/04/2022," 506,020 "
15/04/2022," 103,070 "
16/04/2022," 61,140 "
17/04/2022," 36,650 "
18/04/2022," 209,550 "
19/04/2022," 525,430 "
20/04/2022," 429,680 "
21/04/2022," 620,190 "
22/04/2022," 389,200 "
23/04/2022," 71,480 "
24/04/2022," 38,870 "
25/04/2022," 487,900 "
26/04/2022," 637,040 "
27/04/2022," 409,640 "
28/04/2022," 501,160 "
29/04/2022," 102,880 "
30/04/2022," 61,850 "
01/05/2022," 167,200 "
02/05/2022," 85,510 "
03/05/2022," 83,960 "
04/05/2022," 655,630 "
06/05/2022," 42,370 "
07/05/2022," 252,197 "
08/05/2022," 232,268 "
09/05/2022," 316,006 "
10/05/2022," 302,095 "
13/05/2022," 588,487 "
14/05/2022," 82,520 "
15/05/2022," 42,590 "
16/05/2022," 464,060 "
17/05/2022," 387,644 "
18/05/2022," 257,750 "
19/05/2022," 669,810 "
20/05/2022," 575,604 "
21/05/2022," 78,130 "
22/05/2022," 47,580 "
23/05/2022," 501,230 "
24/05/2022," 305,240 "
25/05/2022," 468,220 "
26/05/2022," 599,400 "
27/05/2022," 399,020 "
28/05/2022," 85,010 "
29/05/2022," 34,000 "
30/05/2022," 478,775 "
31/05/2022," 467,818 "
01/06/2022," 278,070 "
02/06/2022," 42,000 "
03/06/2022," 37,310 "
04/06/2022," 323,510 "
05/06/2022," 432,410 "
06/06/2022," 562,784 "
07/06/2022," 388,192 "
08/06/2022," 65,030 "
09/06/2022," 363,247 "
10/06/2022," 442,280 "
13/06/2022," 635,597 "
14/06/2022," 439,118 "
15/06/2022," 344,457 "
16/06/2022," 380,797 "
17/06/2022," 414,758 "
18/06/2022," 73,360 "
19/06/2022," 35,690 "
20/06/2022," 389,043 "
21/06/2022," 238,224 "
22/06/2022," 381,131 "
23/06/2022," 460,865 "
24/06/2022," 369,450 "
25/06/2022," 79,050 "
26/06/2022," 37,380 "
27/06/2022," 483,083 "
28/06/2022," 544,712 "
29/06/2022," 452,637 "
30/06/2022," 499,019 "
01/07/2022," 163,920 "
02/07/2022," 251,490 "
03/07/2022," 257,160 "
04/07/2022," 747,630 "
05/07/2022," 76,750 "
06/07/2022," 560,416 "
07/07/2022," 388,026 "
08/07/2022," 33,890 "
09/07/2022," 373,379 "
10/07/2022," 400,451 "
13/07/2022," 272,723 "
14/07/2022," 680,394 "
15/07/2022," 271,140 "
16/07/2022," 75,670 "
17/07/2022," 35,630 "
18/07/2022," 496,044 "
19/07/2022," 223,949 "
20/07/2022," 497,820 "
21/07/2022," 503,696 "
22/07/2022," 359,922 "
23/07/2022," 73,610 "
24/07/2022," 36,880 "
25/07/2022," 495,584 "
26/07/2022," 388,225 "
27/07/2022," 323,256 "
28/07/2022," 295,029 "
29/07/2022," 459,557 "
30/07/2022," 75,130 "
31/07/2022," 35,190 "
01/08/2022," 87,980 "
02/08/2022," 166,260 "
03/08/2022," 169,050 "
04/08/2022," 585,040 "
05/08/2022," 41,050 "
06/08/2022," 496,511 "
07/08/2022," 301,980 "
08/08/2022," 260,254 "
09/08/2022," 391,722 "
10/08/2022," 65,190 "
13/08/2022," 64,390 "
14/08/2022," 28,970 "
15/08/2022," 372,347 "
16/08/2022," 312,023 "
17/08/2022," 264,216 "
18/08/2022," 360,793 "
19/08/2022," 255,903 "
20/08/2022," 77,250 "
21/08/2022," 33,090 "
22/08/2022," 487,834 "
23/08/2022," 361,064 "
24/08/2022," 232,022 "
25/08/2022," 526,561 "
26/08/2022," 300,382 "
27/08/2022," 62,330 "
28/08/2022," 37,120 "
29/08/2022," 355,439 "
30/08/2022," 462,304 "
31/08/2022," 391,359 "
01/09/2022," 34,870 "
02/09/2022," 144,030 "
03/09/2022," 141,220 "
04/09/2022," 64,670 "
05/09/2022," 586,280 "
06/09/2022," 402,545 "
07/09/2022," 72,570 "
08/09/2022," 15,900 "
09/09/2022," 282,101 "
10/09/2022," 30,970 "
13/09/2022," 48,410 "
14/09/2022," 301,850 "
15/09/2022," 550,960 "
16/09/2022," 358,505 "
17/09/2022," 71,090 "
18/09/2022," 34,610 "
19/09/2022," 526,804 "
20/09/2022," 295,492 "
21/09/2022," 129,220 "
22/09/2022," 563,452 "
23/09/2022," 254,617 "
24/09/2022," 63,310 "
25/09/2022," 34,180 "
26/09/2022," 362,474 "
27/09/2022," 554,418 "
28/09/2022," 314,198 "
29/09/2022," 380,687 "
30/09/2022," 385,826 "
01/10/2022," 253,610 "
02/10/2022," 242,170 "
03/10/2022," 254,350 "
04/10/2022," 40,210 "
05/10/2022," 371,780 "
06/10/2022," 309,120 "
07/10/2022," 35,130 "
08/10/2022," 176,410 "
09/10/2022," 75,940 "
10/10/2022," 171,310 "
13/10/2022," 130,273 "
01/11/2022," 169,610 "
02/11/2022," 160,800 "
03/11/2022," 169,260 "
04/11/2022," 834,810 "
05/11/2022," 421,370 "
06/11/2022," 72,200 "
07/11/2022," 184,380 "
08/11/2022," 333,523 "
09/11/2022," 35,090 "
10/11/2022," 483,885 "
01/12/2022," 152,520 "
02/12/2022," 82,040 "
03/12/2022," 81,970 "
04/12/2022," 530,260 "
05/12/2022," 495,152 "
06/12/2022," 38,220 "
07/12/2022," 264,735 "
08/12/2022," 221,038 "
09/12/2022," 653,012 "
10/12/2022," 344,509 "
